UTDANNINGTYPEAHEAD,UTDANNING
Mus,Musikk+dans+og+drama+to%C3%A5rig+grunnkurs
Mas,Master+teknologi+samfunnssikkerhet+to%C3%A5rig
Vid,Videreutdanning+i+sykepleie+anestesi-+intensiv-+og+operasjonssykepleie
Mas,Master+medisinsk+biologi+to%C3%A5rig
Vid,Videreutdanning+for+helse-+og+sosialsektoren+veiledning
Dat,Datasertifikat
Str,Strikking%2Fveving+VK+II
Eks,Eksportutdanning
Tek,Teknisk+fagskole+linje+for+boreteknikk
KON,KONVERTERT
Ene,Enemaskinistkurs
Tea,Teater-+og+filmutdanning+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Bac,Bachelor+ingeni%C3%B8rfag+teknisk+design+tre%C3%A5rig
Ind,Industritekstilfaget+trikotasje+VK+I+og+VK+II+s%C3%A6rl%C3%B8p
H%C3%B8g,H%C3%B8gskolekandidat+kulturarbeid+to%C3%A5rig
Bac,Bachelor+fjernsynsteknikk+tre%C3%A5rig
Gla,Glassfaget+Vg2+og+Vg3+s%C3%A6rl%C3%B8p
Med,Medier+og+kommunikasjon+Vg1+grunnkompetanse+(yrkesfaglig)
Siv,Sivilingeni%C3%B8rutdanning+biologi
Can,Cand.philol.-utdanning+media+og+pressefag
Sj%C3%B8,Sj%C3%B8fartsfag+to%C3%A5rig+grunnkurs
Fin,Finansanalytiker+autoriseringsstudium
Can,Cand.philol.-utdanning+arkeologi
Bac,Bachelor+molekyl%C3%A6rbiologi+og+biologisk+kjemi+tre%C3%A5rig
Bac,Bachelor+tannpleie+tre%C3%A5rig
Gar,Gartneri-+og+hagebruksfag+to%C3%A5rig+grunnkurs
Tek,Teknisk+design+lavere+niv%C3%A5
H%C3%B8g,H%C3%B8gskolekandidat+visuell+kommunikasjon+to%C3%A5rig
Bak,Bakerfaget+Vg3
Siv,Sivilingeni%C3%B8rutdanning+bygningsteknologi
Fag,Fagskoleutdanning+butikkledelse+-+salg+og+service+ett%C3%A5rig
Gra,Grafikkutdanning+videreg%C3%A5ende+avsluttende+utdanning
Syk,Sykepleiefag+uspesifiserte+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Dr.,Dr.scient.-utdanning+idrett
Vik,Viklerfaget+Vg3
Dip,Diplomstudium+grafisk+design+fire%C3%A5rig
Can,Cand.musicae.-utdanning+instrument
Dr.,Dr.art.-utdanning+samfunnsvitenskapelig+fakultet
H%C3%B8g,H%C3%B8gskolekandidat+samfunnsfag+og+personalledelse+tre%C3%A5rig
Dr.,Dr.philos.-utdanning+samfunns%C3%B8konomi
Bac,Bachelor+handel+service+og+logistikk+tre%C3%A5rig
Yrk,Yrkesfagl%C3%A6rerutdanning+mekaniske+fag+tre%C3%A5rig
Gra,Grafiske+fag+to%C3%A5rig+grunnkurs
Nyp,Nypersisk+lavere+niv%C3%A5
Mas,Master+humanistiske+og+estetiske+fag+to%C3%A5rig
Mer,Merkantil+engelsk+og+europeiske+studier+p%C3%A5bygging
Med,Medisin+uspesifisert+lavere+niv%C3%A5
Bac,Bachelor+prosjektledelse+kunst+og+kreativ+n%C3%A6ring+tre%C3%A5rig
H%C3%B8g,H%C3%B8gskolekandidat+bibliotek-+og+informasjonsfag+to%C3%A5rig
Kj%C3%B8,Kj%C3%B8nn+og+samfunn+lavere+niv%C3%A5
Mas,Master+teknologi+fysikk+fem%C3%A5rig
Can,Cand.mag.-utdanning+uspesifisert
Bac,Bachelor+engelsk+og+internasjonal+markedskommunikasjon+tre%C3%A5rig
Bac,Bachelor+politikk+og+ledelse+tre%C3%A5rig
Fag,Fagskoleutdanning+programmering+ett%C3%A5rig
Mas,Master+administrasjon+og+organisasjonsvitenskap+to%C3%A5rig
Mas,Master+samfunns%C3%B8konomi+fem%C3%A5rig
Han,Handel+og+markedsf%C3%B8ring+andre+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Rev,Revisorutdanning+grunnleggende+revisorkurs
Gru,Grunnskolel%C3%A6rerutdanning+med+vekt+p%C3%A5+engelsk+5.-10.+trinn+fire%C3%A5rig
Bac,Bachelor+teknologi+organisasjon+og+l%C3%A6ring+tre%C3%A5rig
Bac,Bachelor+%C3%B8konomi+og+n%C3%A6ringslivsjournalistikk+tre%C3%A5rig
Dr.,Dr.ing.-utdanning+skipsfag
Mas,Master+velferdsforvaltning+to%C3%A5rig
Bac,Bachelor+freds-+og+konfliktstudier+tre%C3%A5rig
And,Andre+servicefag+andre+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Hus,Husflid+brukskunst+og+industridesign+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Hot,Hotell-+og+restaurantfag+uspesifisert+h%C3%B8yere+niv%C3%A5
Mas,Master+teknologi+industriell+design+fem%C3%A5rig
Fag,Fagskoleutdanning+psykisk+helsearbeid+og+rusarbeid+ett%C3%A5rig
Mas,Master+russisk+to%C3%A5rig
Ark,Arkitektur+uspesifisert+lavere+niv%C3%A5
Sam,Samfunns%C3%B8konomiske+fag+lavere+niv%C3%A5
Mas,Master+filosofi+to%C3%A5rig
Tra,Translat%C3%B8rutdanning+to%C3%A5rig+p%C3%A5bygging
Pra,Praktisk-pedagogisk+utdanning+uspesifisert+videreg%C3%A5ende+grunnutdanning
H%C3%B8g,H%C3%B8gskolekandidat+programproduksjon+for+fjernsyn+og+video+to%C3%A5rig
Fis,Fiskerikandidatstudiet
Ane,Anestesiologi+spesialistutdanning+for+leger
Mot,Motormannfaget+Vg3
Pro,Produksjonsteknikkfaget+Vg3
Fag,Fagskoleutdanning+maskinoffiser+p%C3%A5+ledelsesniv%C3%A5+to%C3%A5rig
Dr.,Dr.art.-utdanning+arkeologi
Tek,Teknisk+fagskole+linje+for+elektro+to%C3%A5rig
Bac,Bachelor+natur-+og+friluftslivsfag+tre%C3%A5rig
Mas,Master+ledelse+og+organisasjonspsykologi+to%C3%A5rig
Bac,Bachelor+kunsthistorie+tre%C3%A5rig
Fly,Flygelederutdanning+lavere+niv%C3%A5
Can,Cand.scient.-utdanning+ern%C3%A6ring
Mas,Master+ern%C3%A6ring+helse-+og+milj%C3%B8fag+to%C3%A5rig
Tek,Teknikk+og+industriell+produksjon+med+studiespesialisering+Vg3
Ind,Industrimalerfaget+Vg3
Sos,Sosionomutdanning+to%C3%A5rig
Fis,Fiskeriteknologi+to%C3%A5rig
Bac,Bachelor+fiskerifag+tre%C3%A5rig
Sam,Samferdsel+andre+uspesifiserte+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
R%C3%B8r,R%C3%B8rleggerfaget+Vg3
Bac,Bachelor+fagl%C3%A6rerutdanning+kropps%C3%B8ving+og+idrettsfag+tre%C3%A5rig
Res,Resepsjonsfaget+Vg3
Fri,Friluftslivsfag+kultur-+og+naturrettledning+tre%C3%A5rig
H%C3%B8g,H%C3%B8gskolekandidat+reiseliv+og+turisme+to%C3%A5rig
Mas,Master+markedsf%C3%B8ring+to%C3%A5rig
Ste,Steinfag+VK+I
Mas,Master+kulturhistorie+og+museologi+to%C3%A5rig
Can,Cand.polit.-utdanning+sosiologiske+fag
Mas,Master+utdanningsvitenskapelige+fag+to%C3%A5rig
Spe,Spesialpedagogikk+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Mas,Master+barn+og+unges+psykiske+helse+to%C3%A5rig
Inf,Informasjons-+og+datateknologi+uspesifisert+lavere+niv%C3%A5
Mas,Master+teknologi+datateknikk+fem%C3%A5rig
H%C3%B8g,H%C3%B8gskolekandidat+produktdesign+to%C3%A5rig
Can,Cand.philol.-utdanning+musikk
All,Allmennl%C3%A6rerutdanning+med+IKT+fire%C3%A5rig
Mas,Master+sosiologi+to%C3%A5rig
Ph.,Ph.d.-program+historisk-filosofiske+fag
Dr.,Dr.scient.-utdanning+farmasi
Siv,Sivil%C3%B8konom%2FMaster+%C3%B8konomi+og+administrasjon+to%C3%A5rig
Sta,Statsvitenskapelige+fag+uspesifiserte+lavere+niv%C3%A5
Sal,Salg+av+byggevarer+VK+II
Mas,Master+of+Science+coastal+and+marine+civil+engineering+to%C3%A5rig
Mag,Mag.art.-utdanning+spr%C3%A5kvitenskapelige+fag
Fis,Fiske+og+havbruk+andre+uspesifiserte+videreg%C3%A5ende+grunnutdanning
H%C3%B8g,H%C3%B8gskolekandidat+trafikkl%C3%A6rerutdanning+to%C3%A5rig
Kul,Kulturanalyse+lavere+niv%C3%A5
Kul,Kulde-+og+varmepumpemont%C3%B8rfaget+Vg3
Fag,Fagskoleutdanning+innkj%C3%B8p+og+anskaffelse
Fri,Friluftsliv+to%C3%A5rig+veilederstudium
Vid,Videreutdanning+i+vernepleie+uspesifisert
Ban,Bankkandidat+(finans)
Bac,Bachelor+velferdsfag+tre%C3%A5rig
Sek,Sekret%C3%A6rutdanning+uspesifisert+lavere+niv%C3%A5
Mag,Mag.art.-utdanning+statsvitenskapelige+fag
Tel,Teleteknisk+utdanning+videreg%C3%A5ende+avsluttende+utdanning
L%C3%A5s,L%C3%A5sesmedfaget+Vg2+og+Vg3+s%C3%A6rl%C3%B8p
Sam,Samfunns%C3%B8konomi+andre+forskerutdanning
Mas,Master+helseledelse+og+helse%C3%B8konomi+to%C3%A5rig
Nat,Naturvitenskapelige+fag+h%C3%A5ndverksfag+og+tekniske+fag+andre+uspesifiserte+h%C3%B8yere+niv%C3%A5
Siv,Sivilbibliotekar+informasjonskunnskap+og+EDB
Bac,Bachelor+reseptar-%2Ffarmasiutdanning+tre%C3%A5rig
Ph.,Ph.d.-program+medisinske+fag
Bac,Bachelor+norsk%2Fnordisk+tre%C3%A5rig
Ker,Keramikerfaget+Vg2+og+Vg3+s%C3%A6rl%C3%B8p
Bac,Bachelor+kriminologi+tre%C3%A5rig
Mas,Master+of+Laws+public+international+law
Mas,Master+molekyl%C3%A6r+biovitenskap+to%C3%A5rig
Geo,Geofag+andre+uspesifiserte+forskerutdanning
Nat,Naturvitenskapelige+fag+h%C3%A5ndverksfag+og+tekniske+fag+andre+uspesifiserte+videreg%C3%A5ende+grunnutdanning
Dem,Demografi+lavere+niv%C3%A5
Und,Underholdnings-+og+dansemusikk+to%C3%A5rig+utdanning+for+synshemmede
Bac,Bachelor+folkehelsearbeid+tre%C3%A5rig
Bal,Ballettutdanning+tre%C3%A5rig
Bac,Bachelor+mensendieck+tre%C3%A5rig
Ind,Industritekstil+og+design+Vg2
Mus,Musikk+l%C3%A6rerrettet+lavere+niv%C3%A5
Mas,Master+velferdsstudier+to%C3%A5rig
Mat,Matematikk+og+statistikk+andre+uspesifiserte+forskerutdanning
Mas,Master+geofysikk+to%C3%A5rig
Blo,Blomsterdekorat%C3%B8r+Vg2+grunnkompetanse
Tyr,Tyrkisk+lavere+niv%C3%A5
Fag,Fagskoleutdanning+Vaktmesterskolen+halv%C3%A5rig
Vid,Videreutdanning+for+ingeni%C3%B8rer+%C3%B8konomisk-administrative+fag
Veg,Vegtrafikkfag+uspesifiserte+videreg%C3%A5ende+grunnutdanning
Dr.,Dr.art.-utdanning+litteraturvitenskap
Mas,Master+spr%C3%A5kutdanning+to%C3%A5rig
Mas,Master+development+studies+to%C3%A5rig
Vok,Voksenpedagogikk+lavere+niv%C3%A5
Can,Cand.philol.-utdanning+teatervitenskap
Fag,Fagskoleutdanning+motion+design+og+3D+animasjon+to%C3%A5rig
%C3%98ko,%C3%98konomisk-administrative+fag+andre+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Mas,Master+of+Science+event+management+to%C3%A5rig
Bac,Bachelor+animasjonsutdanning+tre%C3%A5rig
H%C3%B8y,H%C3%B8yere+avdeling+for+sivil%C3%B8konomer+uspesifisert
And,Andre+servicefag+andre+uspesifiserte+lavere+niv%C3%A5
H%C3%B8g,H%C3%B8gskolekandidat+kristendomskunnskap+og+menighetsarbeid+to%C3%A5rig
Can,Cand.san.-utdanning+logopedi
Can,Cand.polit.-utdanning+sykepleievitenskap
Fag,Fagl%C3%A6rerutdanning+idrett+og+kropps%C3%B8ving+tre%C3%A5rig
Can,Cand.musicae.-utdanning+musikkteori
Ser,Serviceelektronikerfaget+tele-+kontroll-+og+alarmsystemer+VK+II
Hov,Hovedfagskandidat+forming%2Fformgivingsfag
Mas,Master+teknologi+produktutvikling+og+produksjon+fem%C3%A5rig
Fag,Fagskoleutdanning+regnskap+og+l%C3%B8nn+halv%C3%A5rig
Bac,Bachelor+fransk+og+internasjonal+markedskommunikasjon+tre%C3%A5rig
Fag,Fagskoleutdanning+prosjektledelse
Mas,Master+environmental+and+development+economics+to%C3%A5rig
Bac,Bachelor+%C3%B8konomi-+og+ressursforvaltning+innen+jord-+og+skogbruk+tre%C3%A5rig
Siv,Sivilingeni%C3%B8rutdanning+materialteknologi
Siv,Sivilingeni%C3%B8rutdanning+prosessteknikk
Tra,Translat%C3%B8rutdanning+uspesifisert+h%C3%B8yere+niv%C3%A5
Fys,Fysioterapi+uspesifisert+lavere+niv%C3%A5
Tre,Treb%C3%A5tbyggerfag+VK+I
Vid,Videreutdanning+for+helse-+og+sosialsektoren+aldersdemens
Rom,Romteknologi+Vg3
Bac,Bachelor+musikkteknologi+fire%C3%A5rig
Bac,Bachelor+medie-management+tre%C3%A5rig
H%C3%B8y,H%C3%B8yere+avdeling+for+sivil%C3%B8konomer+spr%C3%A5k
Mas,Master+IT-spr%C3%A5k+logikk+og+psykologi+to%C3%A5rig
Apo,Apotekfag+videreg%C3%A5ende+grunnutdanning
Gar,Gartnern%C3%A6ring+Vg3
Jor,Jordbruk+uspesifisert+lavere+niv%C3%A5
Mis,Misjonsskole+fire%C3%A5rig
Byg,Bygg-+og+anleggsteknikk+Vg1+grunnkompetanse
H%C3%B8g,H%C3%B8gskolekandidat+merkantil+tysk+og+internasjonal+handel+to%C3%A5rig
Ban,Banereparat%C3%B8rkurs+jernbane
Vid,Videreutdanning+ingeni%C3%B8rer+teknisk+eksport
Fag,Fagskoleutdanning+butikkledelse+-+salg+og+service
Bac,Bachelor+religionsstudier+tre%C3%A5rig
Mas,Master+teknologi+geomatikk+fem%C3%A5rig
Fag,Fagl%C3%A6rerutdanning+ern%C3%A6rings-+helse-+og+milj%C3%B8fag+tre%C3%A5rig
Vid,Videreutdanning+for+ingeni%C3%B8rer+landskapsteknikk+og+landm%C3%A5ling
Jur,Juridiske+fag+andre+uspesifiserte+videreg%C3%A5ende+grunnutdanning
Lic,Lic.NHH-utdanning+%C3%B8konomisk-administrative+fag
H%C3%B8g,H%C3%B8gskolekandidat+film-+og+fjernsynsutdanning+tre%C3%A5rig
Mas,Master+special+needs+education+to%C3%A5rig
Sko,Skoleledelse+videreutdanning
Bac,Bachelor+barnehagel%C3%A6rerutdanning+tre%C3%A5rig
Bac,Bachelor+religion+og+kultur+tre%C3%A5rig
Bac,Bachelor+informatikk+spr%C3%A5k+og+kultur+tre%C3%A5rig
Bac,Bachelor+japansk+tre%C3%A5rig
Dr.,Dr.scient.-utdanning+mikrobiologi
Can,Cand.agric.-utdanning+jord-+vann-+og+plantefag
Tek,Teknisk+fagskole+linje+for+planlegging+og+drift+(bygg+og+anlegg)
Sam,Samfunnsvitenskapelig+informasjonsbehandling+lavere+niv%C3%A5
Ark,Arkitektassistentutdanning+videreg%C3%A5ende+grunnutdanning
Mas,Master+teologi+to%C3%A5rig
Syk,Sykepleiefag+uspesifiserte+forskerutdanning
Sam,Samfunnsfag+og+juridiske+fag+andre+uspesifiserte+lavere+niv%C3%A5
Bac,Bachelor+matematikk+og+statistikk+tre%C3%A5rig
%C3%98re,%C3%98re-nese-hals-sykdommer+spesialistutdanning+for+leger
Mas,Master+matvitenskap+to%C3%A5rig
Fag,Fagl%C3%A6rerutdanning+handels-+og+kontorfag+to%C3%A5rig
San,Sang-+og+musikkutdanning+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Sko,Skogbruk+andre+uspesifiserte+lavere+niv%C3%A5
H%C3%B8g,H%C3%B8gskolekandidat+informatikk+tre%C3%A5rig
Fag,Fagskoleutdanning+sveiseteknikk+to%C3%A5rig
Bac,Bachelor+art+direction+tre%C3%A5rig
Fin,Finmekaniske+fag+uspesifiserte+lavere+niv%C3%A5
And,Andre+servicefag+andre+uspesifisert+utdanningsgruppe+lavere+niv%C3%A5
Bac,Bachelor+kjemi+tre%C3%A5rig
Ant,Antikkens+spr%C3%A5k+og+kultur+lavere+niv%C3%A5
Kun,Kunstfagkandidat+keramikk+hovedfag
Utd,Utdanning+i+pedagogikk+annen+uspesifisert+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Ind,Industriell+skot%C3%B8yproduksjon+Vg2+og+Vg3+s%C3%A6rl%C3%B8p
Mas,Master+migration+and+intercultural+relations+to%C3%A5rig
Can,Cand.scient.-utdanning+cellebiologi
Dr.,Dr.scient.-utdanning+fysikk
Mek,Mekatronikk+lavere+niv%C3%A5
Mas,Master+anvendt+%C3%B8kologi+to%C3%A5rig
Bac,Bachelor+tysk+og+internasjonal+markedskommunikasjon+tre%C3%A5rig
Yrk,Yrkesfagl%C3%A6rerutdanning+formgivingsfag+tre%C3%A5rig
Jor,Jordbruk+andre+uspesifiserte+forskerutdanning
Kir,Kirkemusikk+videreutdanning+h%C3%B8yere+niv%C3%A5
Dr.,Dr.art.-utdanning+musikk
Byg,Byggteknikk+Vg2
Sam,Samfunnsfag+to%C3%A5rig+studium
Bac,Bachelor+personalledelse+tre%C3%A5rig
Vev,Vev+to%C3%A5rig+grunnkurs
Sti,Stillasbyggerfaget+Vg3
Geo,Geofysikk+lavere+niv%C3%A5
Geo,Geografiske+informasjonssystemer+(GIS)+ett%C3%A5rig
Can,Cand.polit.-utdanning+statsvitenskap
Siv,Sivilingeni%C3%B8rutdanning+naturvitenskapelige+og+tekniske+fag+uoppgitt+faggruppe
Gje,Gjenvinningsfaget+Vg2+og+Vg3+s%C3%A6rl%C3%B8p
Bac,Bachelor+arktisk+forurensningsbiologi+og+forvaltning+tre%C3%A5rig
Pos,Postale+fag+videreg%C3%A5ende+avsluttende+utdanning
Fly,Flytypekurs+(sertifikatkurs)
Kje,Kjemiprosess+to%C3%A5rig+grunnkurs
Bac,Bachelor+helsefremmende+arbeid+tre%C3%A5rig
All,Allmenne+fag%2Fgenerelle+programmer+lavere+niv%C3%A5+(4+%C3%A5r+el.+mindre)
Fot,Fotofag+uspesifiserte+videreg%C3%A5ende+grunnutdanning
Bac,Bachelor+produktdesign+tre%C3%A5rig
Ped,Pedagogikk+uspesifisert+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
H%C3%B8g,H%C3%B8gskolekandidat+transport%C3%B8konomi+og+logistikk+tre%C3%A5rig
Kon,Kontorfag+andre+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Fag,Fagskoleutdanning+markedsf%C3%B8ring
Tol,Tollskolen
Mas,Master+of+Philosophy+samfunnsgeografi
Mas,Master+odontologi+fem%C3%A5rig
Ter,Terapeutiske+fag+andre+uspesifiserte+videreg%C3%A5ende+grunnutdanning
Ski,Skipsf%C3%B8rerutdanning
Dr.,Dr.polit.-utdanning+samfunnsgeografi
Ph.,Ph.d.-program+statsvitenskapelige+fag
Sos,Sosialpedagogikk+to%C3%A5rig+studium
Mas,Master+of+Laws+maritime+law
Cha,Chassisp%C3%A5byggerfaget+Vg3
Mas,Master+formgiving+kunst+og+h%C3%A5ndverk+to%C3%A5rig
H%C3%B8g,H%C3%B8gskoleingeni%C3%B8rutdanning+milj%C3%B8teknologi+tre%C3%A5rig
Sik,Sikkerhet+andre+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Ph.,Ph.d.-program+industriell+%C3%B8konomi+og+teknologiledelse
Mas,Master+teknologi+energi+og+milj%C3%B8+to%C3%A5rig
Mol,Molekyl%C3%A6rbiologi+lavere+niv%C3%A5
Nat,Naturbruk+uspesifisert+Vg2
Bac,Bachelor+fysikk+astronomi+og+meteorologi+tre%C3%A5rig
Vit,Vitenskapsteori+og+forskningsmetode
H%C3%B8g,H%C3%B8gskolekandidat+drama+og+teaterkommunikasjon+to%C3%A5rig
H%C3%B8g,H%C3%B8gskolekandidat+kunst-+og+kulturfag+tre%C3%A5rig
Mas,Master+religionshistorie+to%C3%A5rig
Vid,Videreutdanning+sikkerhet
Des,Designkandidat+m%C3%B8bel+og+innredning+hovedfag
Mas,Master+gender+studies+to%C3%A5rig
Can,Cand.musicae.-utdanning+komponering
Bac,Bachelor+prehospitalt+arbeid+-+paramedic+tre%C3%A5rig
Mas,Master+of+Science+prim%C3%A6rn%C3%A6ringsfag+to%C3%A5rig
Can,Cand.philol.-utdanning+media+og+massekommunikasjon
Can,Cand.mag.-utdanning+naturvitenskapelige+og+tekniske+fag
Kun,Kunstutdanning+videreutdanning+h%C3%B8yere+niv%C3%A5
Rel,Religionsutdanning+annen+uspesifisert+h%C3%B8yere+niv%C3%A5
Vid,Videreutdanning+bygg-+og+anleggsfag+andre
Tel,Telegrafistutdanning+videreg%C3%A5ende+grunnutdanning
Des,Design+og+duodji+Vg2
Lic,Lic.philos.-utdanning+samfunnsvitenskapelige+fag
Ph.,Ph.d.-program+samfunnsvitenskapelige+fag
Her,Herreskredderfaget+Vg3
Fag,Fagskoleutdanning+elektrofag+automasjon+to%C3%A5rig
Mas,Master+fransk+to%C3%A5rig
Can,Cand.techn.-utdanning+petroleumsteknologi
Syk,Sykehussekret%C3%A6rutdanning+videreg%C3%A5ende+grunnutdanning
H%C3%B8g,H%C3%B8gskolekandidat+informasjon+og+samfunnskontakt+to%C3%A5rig
Mas,Master+samfunnsgeografi+to%C3%A5rig
Can,Cand.theol.-utdanning+tre%C3%A5rig
Ph.,Ph.d.-program+%C3%B8kologi
Bib,Bibel-+misjon%C3%A6r-+og+menighetsarbeid+og+predikantutdanning+uspesifisert+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Can,Cand.philol.-utdanning+nederlandsk
Tol,Tollkontroll%C3%B8rkurs
Ph.,Ph.d.-program+psykologi
Vid,Videreutdanning+for+ingeni%C3%B8rer+elektro
Pri,Prim%C3%A6rn%C3%A6ringsfag+andre+uspesifiserte+lavere+niv%C3%A5
Bac,Bachelor+fagl%C3%A6rerutdanning+tospr%C3%A5klig+tre%C3%A5rig
Ban,Bank%C3%B8konom%2Fdiplom%C3%B8konom+i+bankfag+(finans)
Jer,Jernbanetrafikkfag+uspesifiserte+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Vid,Videreutdanning+for+l%C3%A6rere+uspesifisert+videreg%C3%A5ende+grunnutdanning
Mus,Musikkterapi+to%C3%A5rig+videreutdanning
Met,Metallvareproduksjon+VK+II
Vid,Videreutdanning+medier+og+kommunikasjon
Fag,Fagskoleutdanning+oppvekstfag+ett%C3%A5rig
For,Forlagsmedarbeider%2Fpublisher+videreg%C3%A5ende+grunnutdanning
Mas,Master+klinisk+ern%C3%A6ring+fem%C3%A5rig
Hov,Hovedfagskandidat+dramapedagogikk
Rev,Revisoreksamen+h%C3%B8yere+1+5-%C3%A5rig
Bac,Bachelor+sammenliknende+politikk+tre%C3%A5rig
Bac,Bachelor+informatikk+matematikk+og+%C3%B8konomi+tre%C3%A5rig
Fag,Fagskoleutdanning+tverrfaglig+milj%C3%B8arbeid+ett%C3%A5rig
Ped,Pedagogikk+uspesifisert+forskerutdanning
Bac,Bachelor+dans+tre%C3%A5rig
Mas,Master+samfunnssikkerhet+to%C3%A5rig
H%C3%B8g,H%C3%B8gskolekandidat+informatikk+og+matematikk+to%C3%A5rig
Mas,Master+of+science+biology+to%C3%A5rig
Nat,Naturvitenskapelige+fag+h%C3%A5ndverksfag+og+tekniske+fag+l%C3%A6rerutdanning+uspesifisert+h%C3%B8yere+niv%C3%A5
Bac,Bachelor+politiutdanning+tre%C3%A5rig+grunnutdanning
Mas,Master+cellebiologi+for+medisinsk%2Fteknisk+personell+to%C3%A5rig
Vid,Videreutdanning+journalistikk
Fin,Finmekanikerfaget+Vg3
Mas,Master+of+Philosophy+historisk-filosofiske+fag
Dr.,Dr.philos.-utdanning+filosofiske+fag
Mas,Master+drama%2Fteater+to%C3%A5rig
Dyk,Dykkerkurs
Pro,Produksjonselektronikerfaget+Vg3
Mas,Master+teknologi+informasjons-+og+kommunikasjonsteknologi+fem%C3%A5rig
Mas,Master+teknologi+industriell+%C3%B8konomi+og+teknologiledelse+fem%C3%A5rig
Pla,Plastfag+VK+I
Fag,Fagl%C3%A6rerutdanning+handels-+og+kontorfag+tre%C3%A5rig
Mas,Master+of+Science+hotell-+og+reiselivsadministrasjon+to%C3%A5rig
Bac,Bachelor+spr%C3%A5kvitenskap+tre%C3%A5rig
Bac,Bachelor+kognitiv+vitenskap+tre%C3%A5rig
H%C3%B8g,H%C3%B8gskolekandidat+geografiske+informasjonssystemer+(GIS)+to%C3%A5rig
H%C3%B8g,H%C3%B8gskolekandidat+informatikk+og+%C3%B8konomi+to%C3%A5rig
Bac,Bachelor+samfunnsikkerhet+og+milj%C3%B8+tre%C3%A5rig
Mas,Master+ern%C3%A6ring+to%C3%A5rig
Rev,Revisoreksamen+2+5-%C3%A5rig
Fag,Fagskoleutdanning+manus+og+tekst+for+TV+ett%C3%A5rig
Kul,Kulde-+og+varmepumpeteknikk+Vg2
Fly,Flyinteri%C3%B8r-+og+utstyrsmekanikerfaget+VK+III
Nat,Naturfag+lavere+niv%C3%A5
Hus,Husdyrbruk+lavere+niv%C3%A5
H%C3%B8y,H%C3%B8yere+avdeling+for+sivil%C3%B8konomer+%C3%B8konomisk+historie
Mas,Master+international+community+health+to%C3%A5rig
Spe,Spesialpedagogikk+videreutdanning+for+l%C3%A6rere
Bac,Bachelor+ingeni%C3%B8rfag+transportteknikk+og+logistikk+tre%C3%A5rig
Tol,Tollfag+uspesifiserte+videreg%C3%A5ende+grunnutdanning
Mas,Master+kulturminneforvaltning+to%C3%A5rig
Jur,Juridiske+fag+andre+uspesifiserte+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Kla,Klassisk+musikk+ut%C3%B8vende+fire%C3%A5rig
Bac,Bachelor+akupunktur+tre%C3%A5rig
Vid,Videreutdanning+for+sosialsektoren+gerontologi
Bac,Bachelor+havbruksbiologi+tre%C3%A5rig
Fag,Fagl%C3%A6rerutdanning+musikk+tre%C3%A5rig
Bac,Bachelor+kj%C3%B8nn+feminisme+og+likestilling+tre%C3%A5rig
H%C3%B8g,H%C3%B8gskolekandidat+landbruks%C3%B8konomi+to%C3%A5rig
Vid,Videreutdanning+statsvitenskapelige+fag
Akv,Akvakultur+lavere+niv%C3%A5
H%C3%B8g,H%C3%B8gskolekandidat+n%C3%A6ringsmiddelteknologi+tre%C3%A5rig
Fab,Fabrikasjon+og+utvinning+andre+uspesifiserte+lavere+niv%C3%A5
Mas,Master+teknologi+geofag+og+petroleumsteknologi+fem%C3%A5rig
Bac,Bachelor+varehandel+tre%C3%A5rig
Mag,Mag.art.-utdanning+samfunnsvitenskapelige+fag
Ern,Ern%C3%A6ring+helse+og+milj%C3%B8vern+to%C3%A5rig
Mas,Master+tverrfaglig+samarbeid+i+helse-+og+sosialsektoren+to%C3%A5rig
Hov,Hovedfagskandidat+norsk+spr%C3%A5k+og+litteratur
Mas,Master+milj%C3%B8-+og+helsevern+to%C3%A5rig
Fis,Fiske+og+fangst+Vg3
Can,Cand.san.-utdanning+helsevernfag
Fag,Fagskoleutdanning+l%C3%B8nns-+og+personalkonsulent+halv%C3%A5rig
Mas,Master+idrett%2Fkropps%C3%B8ving+to%C3%A5rig
Fag,Fagl%C3%A6rerutdanning+forming+to%C3%A5rig
Bac,Bachelor+ressursgeologi+tre%C3%A5rig
Psy,Psykologi+uspesifisert+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
